ItemNum,Description,ScheduleFee
16522,"Management of labour and birth, or birth alone, (including caesarean section), on or after 23 weeks gestation, if in the course of antenatal supervision or intrapartum management one or more of the following conditions is present, including postnatal care for 7 days: (a) fetal loss; (b) multiple pregnancy; (c) antepartum haemorrhage that is: (i) of greater than 200 ml; or (ii) associated with disseminated intravascular coagulation; (d) placenta praevia on ultrasound in the third trimester with the placenta within 2 cm of the internal cervical os; (e) baby with a birth weight less than or equal to 2,500 g; (f) trial of vaginal birth in a patient with uterine scar where there has been a planned vaginal birth after caesarean section; (g) trial of vaginal breech birth where there has been a planned vaginal breech birth; (h) prolonged labour greater than 12 hours with partogram evidence of abnormal cervimetric progress as evidenced by cervical dilatation at less than 1 cm/hr in the active phase of labour (after 3 cm cervical dilatation and effacement until full dilatation of the cervix); (i) acute fetal compromise evidenced by: (i) scalp pH less than 7.15; or (ii) scalp lactate greater than 4.0; (j) acute fetal compromise evidenced by at least one of the following significant cardiotocograph abnormalities: (i) prolonged bradycardia (less than 100 bpm for more than 2 minutes); (ii) absent baseline variability (less than 3 bpm); (iii) sinusoidal pattern; (iv) complicated variable decelerations with reduced (3 to 5 bpm) or absent baseline variability; (v) late decelerations; (k) pregnancy induced hypertension of at least 140/90 mm Hg associated with: (i) at least 2+ proteinuria on urinalysis; or (ii) protein-creatinine ratio greater than 30 mg/mmol; or (iii) platelet count less than 150 x 109/L; or (iv) uric acid greater than 0.36 mmol/L; (l) gestational diabetes mellitus requiring at least daily blood glucose monitoring; (m) mental health disorder (whether arising prior to pregnancy, during pregnancy or postpartum) that is demonstrated by: (i) the patient requiring hospitalisation; or (ii) the patient receiving ongoing care by a psychologist or psychiatrist to treat the symptoms of a mental health disorder; or (iii) the patient having a GP mental health treatment plan; or (iv) the patient having a management plan prepared in accordance with item 291; (n) disclosure or evidence of domestic violence; (o) any of the following conditions either diagnosed pre-pregnancy or evident at the first antenatal visit before 20 weeks gestation: (i) pre-existing hypertension requiring antihypertensive medication prior to pregnancy; (ii) cardiac disease (co-managed with a specialist physician and with echocardiographic evidence of myocardial dysfunction); (iii) previous renal or liver transplant; (iv) renal dialysis; (v) chronic liver disease with documented oesophageal varices; (vi) renal insufficiency in early pregnancy (serum creatinine greater than 110 mmol/L); (vii) neurological disorder that confines the patient to a wheelchair throughout pregnancy; (viii) maternal height of less than 148 cm; (ix) a body mass index greater than or equal to 40; (x) pre-existing diabetes mellitus on medication prior to pregnancy; (xi) thyrotoxicosis requiring medication; (xii) previous thrombosis or thromboembolism requiring anticoagulant therapy through pregnancy and the early puerperium; (xiii) thrombocytopenia with platelet count of less than 100,000 prior to 20 weeks gestation; (xiv) HIV, hepatitis B or hepatitis C carrier status positive; (xv) red cell or platelet iso-immunisation; (xvi) cancer with metastatic disease; (xvii) illicit drug misuse during pregnancy (Anaes.)",1856.15
16530,"Management of pregnancy loss, from 14 weeks to 15 weeks and 6 days gestation, other than a service to which item 16531, 35640 or 35643 applies (Anaes.)",437.85
16531,"Management of pregnancy loss, from 16 weeks to 22 weeks and 6 days gestation, other than a service to which item 16530, 35640 or 35643 applies (Anaes.)",875.7
16564,"Evacuation of retained products of conception (placenta, membranes or mole) as a complication of confinement, with or without curettage of the uterus, as an independent procedure (Anaes.)",248.35
18216,"Intrathecal, combined spinal-epidural or epidural infusion of a therapeutic substance, initial injection or commencement of, including up to 1 hour of continuous attendance by the medical practitioner Applicable once per presentation, per medical practitioner, per complete new procedure (Anaes.)",216.35
18226,"Intrathecal, combined spinal-epidural or epidural infusion of a therapeutic substance, initial injection or commencement of, including up to 1 hour of continuous attendance by the medical practitioner, for a patient in labour, where the service is provided in the after hours period, being the period from 8pm to 8am on any weekday, or any time on a Saturday, a Sunday or a public holiday. Applicable once per presentation, per medical practitioner, per complete new procedure",324.45
18230,"Intrathecal or epidural injection of neurolytic substance (not contrast agent) by any route, including transforaminal route (Anaes.)",271.6
18232,"Intrathecal or epidural injection (including translaminar and transforaminal approaches) of therapeutic substance or substances (anaesthetic, steroid or chemotherapeutic agents):(a) other than a service to which another item in this Group applies; and (b) not in association with a service to which an item in Group T8 applies, unless the nerve block is performed using a targeted percutaneous approach (Anaes.)",216.35
18233,EPIDURAL INJECTION of blood for blood patch (Anaes.),216.35
18234,"Trigeminal nerve, primary branch (ophthalmic, maxillary or mandibular branches, excluding infraorbital nerve), injection of an anaesthetic agent or steroid, but not in association with a service to which an item in Group T8 applies, unless a targeted percutaneous technique is used (Anaes.)",142.25
18236,"Trigeminal nerve, peripheral branch (including infraorbital nerve), injection of an anaesthetic agent, but not in association with a service to which an item in Group T8 applies, unless a targeted percutaneous technique is used (Anaes.)",71.25
18242,"GREATER OCCIPITAL NERVE, injection of an anaesthetic agent (Anaes.)",42.9
18256,"SUPRASCAPULAR NERVE, injection of an anaesthetic agent",71.25
18262,"Ilio inguinal, iliohypogastric or genitofemoral nerves, one or more of, injections of an anaesthetic agent, not in association with a service to which an item in Group T8 applies, unless the nerve block is performed using a targeted percutaneous approach (Anaes.)",71.25
18264,"Pudendal nerve or dorsal nerve (or both), injection of an anaesthetic agent, not in association with a service to which an item in Group T8 applies, unless the nerve block is performed using a targeted percutaneous approach",114.9
18266,"Ulnar, radial or median nerve, main trunk of, one or more of, injections of an anaesthetic agent, not being associated with a brachial plexus block, not in association with a service to which an item in Group T8 applies, unless the nerve block is performed using a targeted percutaneous approach",71.25
18268,"OBTURATOR NERVE, injection of an anaesthetic agent",100.95
18270,"FEMORAL NERVE, injection of an anaesthetic agent",100.95
18272,"SAPHENOUS, SURAL, POPLITEAL OR POSTERIOR TIBIAL NERVE, MAIN TRUNK OF, 1 or more of, injection of an anaesthetic agent",71.25
18276,"PARAVERTEBRAL NERVES, injection of an anaesthetic agent, (multiple levels)",142.25
18280,"Sphenopalatine ganglion, injection of an anaesthetic agent, not in association with a service to which an item in Group T8 applies, unless the nerve block is performed using a targeted percutaneous approach (Anaes.)",142.25
18284,"Cervical or thoracic sympathetic chain, injection of an anaesthetic agent (Anaes.)",168.15
18286,"Lumbar or pelvic sympathetic chain, injection of an anaesthetic agent (Anaes.)",168.15
18288,"Coeliac plexus or splanchnic nerves, injection of an anaesthetic agent, not in association with a service to which an item in Group T8 applies, unless the nerve block is performed using a targeted percutaneous approach (Anaes.)",168.15
18292,"Nerve branch, destruction by a neurolytic agent under image guidance, other than a service to which another item in this Group applies or a service associated with the injection of botulinum toxin except a service to which item 18354 applies (Anaes.)",142.25
30023,"WOUND OF SOFT TISSUE, traumatic, deep or extensively contaminated, debridement of, under general anaesthesia or regional or field nerve block, including suturing of that wound when performed (Anaes.) (Assist.)",371.45
30024,"WOUND OF SOFT TISSUE, debridement of extensively infected post-surgical incision or Fournier's Gangrene, under general anaesthesia or regional or field nerve block, including suturing of that wound when performed (Anaes.) (Assist.)",371.45
30055,"Wounds, dressing of, under general, regional or intravenous sedation, with or without removal of sutures, other than a service associated with a service to which another item in this Group applies (Anaes.)",84.25
30064,"SUBCUTANEOUS FOREIGN BODY, removal of, requiring incision and exploration, including closure of wound if performed, as an independent procedure (Anaes.)",125.2
30068,"FOREIGN BODY IN MUSCLE, TENDON OR OTHER DEEP TISSUE, removal of, as an independent procedure (Anaes.) (Assist.)",315.3
30071,"Diagnostic biopsy of skin, as an independent procedure, if the biopsy specimen is sent for pathological examination (Anaes.)",59.5
30075,"DIAGNOSTIC BIOPSY OF LYMPH NODE, MUSCLE OR OTHER DEEP TISSUE OR ORGAN, as an independent procedure,if the biopsy specimen is sent for pathological examination (Anaes.)",170.6
30081,"DIAGNOSTIC BIOPSY OF BONE MARROW by trephine using open approach, where the biopsy specimen is sent for pathological examination (Anaes.)",125.2
30084,DIAGNOSTIC BIOPSY OF BONE MARROW by trephine using percutaneous approach where the biopsy is sent for pathological examination (Anaes.),67
30094,"DIAGNOSTIC PERCUTANEOUS ASPIRATION BIOPSY of deep organ using interventional imaging techniques - but not including imaging, where the biopsy is sent for pathological examination (Anaes.)",215.8
30107,"Excision of ganglion, other than a service associated with a service to which another item in this Group applies (Anaes.)",250.5
30175,"Radical abdominoplasty, with repair of rectus diastasis, excision of skin and subcutaneous tissue, and transposition of umbilicus, not being a laparoscopic procedure, if:(a) the patient has an abdominal wall defect as a consequence of pregnancy; and(b) the patient: (i) has a diastasis of at least 3cm measured by diagnostic imaging prior to this service; and(ii) has either or both of the following: (A) at least moderately severe pain or discomfort at the site of the diastasis in the abdominal wall during functional use and the pain or discomfort has been documented in the patient’s records by the practitioner providing the service;(B) low back pain or urinary symptoms likely due to rectus diastasis and the pain or symptoms have been documented in the patient’s records by the practitioner providing the service; and (iii) has failed to respond to non-surgical conservative treatment, that must have included physiotherapy; and(iv) has not been pregnant in the last 12 months; and (c) the service is not a service associated with a service to which item 30166, 30169, 30176, 30177, 30179, 30651, 30655, 45530, 45531, 45564, 45565, 45567, 46060, 46062, 46064, 46066, 46068, 46070, 46072, 46080, 46082, 46084, 46086, 46088 or 46090 appliesApplicable once per lifetime (H) (Anaes.) (Assist.)",1105.15
30177,"Lipectomy, excision of skin and subcutaneous tissue associated with redundant abdominal skin and fat that is a direct consequence of significant weight loss, in conjunction with a radical abdominoplasty, with or without repair of musculoaponeurotic layer and transposition of umbilicus, not being a service associated with a service to which item 30166, 30175, 30176, 30179, 45530, 45531, 45564, 45565, 45567, 46060, 46062, 46064, 46066, 46068, 46070, 46072, 46080, 46082, 46084, 46086, 46088 or 46090applies, if: (a) there is intertrigo or another skin condition that risks loss of skin integrity and has failed 3 months of conventional (or non-surgical) treatment; and (b) the redundant skin and fat interferes with the activities of daily living; and (c) the weight has been stable for at least 6 months following significant weight loss prior to the lipectomy (H) (Anaes.) (Assist.)",1122.85
30179,"Circumferential lipectomy, as an independent procedure, to correct circumferential excess of redundant skin and fat that is a direct consequence of significant weight loss, with or without a radical abdominoplasty, not being a service associated with a service to which item 30175, 30176, 30177, 45530, 45531, 45564, 45565, 45567, 46060, 46062, 46064, 46066, 46068, 46070, 46072, 46080, 46082, 46084, 46086, 46088 or 46090 applies, if: (a) the circumferential excess of redundant skin and fat is complicated by intertrigo or another skin condition that risks loss of skin integrity and has failed 3 months of conventional (or non-surgical) treatment; and (b) the circumferential excess of redundant skin and fat interferes with the activities of daily living; and (c) the weight has been stable for at least 6 months following significant weight loss prior to the lipectomy (H) (Anaes.) (Assist.)",1382.05
30189,"WARTS or MOLLUSCUM CONTAGIOSUM (one or more), removal of, by any method (other than by chemical means), where undertaken in the operating theatre of a hospital, not being a service associated with a service to which another item in this Group applies (H) (Anaes.)",167.75
30196,"Malignant neoplasm of skin or mucous membrane that has been: (a) proven by histopathology; or (b) confirmed by the opinion of a specialist in the specialty of dermatology or plastic surgerywhere a specimen has been submitted for histologic confirmation; removal of, by serial curettage, or carbon dioxide laser or erbium laser excision‑ablation, including any associated cryotherapy or diathermy (Anaes.)",143.8
30210,"Keloid and other skin lesions, extensive, multiple injections of glucocorticoid preparations, if undertaken in the operating theatre of a hospital (H) (Anaes.)",185.65
30223,"LARGE HAEMATOMA, LARGE ABSCESS, CARBUNCLE, CELLULITIS or similar lesion, requiring admission to a hospital, INCISION WITH DRAINAGE OF (excluding aftercare) (Anaes.)",185.65
30224,PERCUTANEOUS DRAINAGE OF DEEP ABSCESS using interventional imaging techniques - but not including imaging (Anaes.),270.65
30250,"Parotid gland, total extirpation of, with preservation of facial nerve, including: (a) removal of tumour; and (b) exposure or mobilisation of facial nerve; other than a service associated with a service to which item 39321, 39324, 39327 or 39330 applies (H) (Anaes.) (Assist.)",1425.25
30253,"Parotid gland, superficial lobectomy of, with exposure of facial nerve, including: (a) removal of tumour; and (b) exposure or mobilisation of facial nerve; other than a service associated with a service to which item 39321, 39324, 39327 or 39330 applies (H) (Anaes.) (Assist.)",950.2
30256,"Submandibular gland, extirpation of, other than a service associated with a service to which item 31423, 31426, 31429, 31432, 31435 or 31438 applies on the same side (H) (Anaes.) (Assist.)",507.45
30266,"Salivary gland, removal of calculus from duct or meatotomy or marsupialisation, 1 or more such procedures. (Anaes.)",170.6
30272,"TONGUE, partial excision of (Anaes.) (Assist.)",336.85
30281,"Tongue tie, mandibular frenulum or maxillary frenulum, repair of, in a person aged 2 years and over, under general anaesthesia, other than a service associated with a service to which item 45009 applies (Anaes.)",136.1
30283,"RANULA OR MUCOUS CYST OF MOUTH, removal of (Anaes.)",233.2
30296,"THYROIDECTOMY, total (Anaes.) (Assist.)",1166.25
30297,THYROIDECTOMY following previous thyroid surgery (Anaes.) (Assist.),1166.25
30299,"Sentinel lymph node biopsy or biopsies for breast cancer, involving dissection in an axilla, using preoperative lymphoscintigraphy and/or lymphotropic dye injection (H) (Anaes.) (Assist.)",809.1
30306,TOTAL HEMITHYROIDECTOMY (Anaes.) (Assist.),909.8
30310,Partial or subtotal thyroidectomy (Anaes.) (Assist.),909.8
30311,"Sentinel lymph node biopsy or biopsies for cutaneous melanoma, using preoperative lymphoscintigraphy and/or lymphotropic dye injection, if: (a) the primary lesion is greater than 1.0 mm in depth (or at least 0.8 mm in depth in the presence of ulceration); and (b) appropriate excision of the primary melanoma has occurred; and (c) the service is not associated with a service to which item 30075, 30078, 30299, 30305, 30329, 30332, 30618, 30820, 31423, 52025 or 52027 appliesApplicable to only one lesion per occasion on which the service is provided (H) (Anaes.) (Assist.)",709.1
30314,"Thyroglossal cyst or fistula or both, radical removal of, including thyroglossal duct and portion of hyoid bone, on a patient 10 years of age or over (Anaes.) (Assist.)",521
30315,"Minimally invasive parathyroidectomy. Removal of 1 or more parathyroid adenoma through a small cervical incision for an image localised adenoma, including thymectomy. For any particular patient - applicable only once per occasion on which the service is provided. Not in association with a service to which item 30318, 30317 or 30320 applies. (Anaes.) (Assist.)",1298.65
30317,"Redo parathyroidectomy. Cervical re-exploration for persistent or recurrent hyperparathyroidism, including thymectomy and cervical exploration of the mediastinum. For any particular patient - applicable only once per occasion on which the service is provided. Not in association with a service to which item 30315, 30318 or 30320 applies. (Anaes.) (Assist.)",1554.9
30318,"Open parathyroidectomy, exploration and removal of 1 or more adenoma or hyperplastic glands via a cervical incision including thymectomy and cervical exploration of the mediastinum when performed. For any particular patient - applicable only once per occasion on which the service is provided. Not in association with a service to which item 30315, 30317 or 30320 applies. (Anaes.) (Assist.)",1298.65
30324,Excision of an adrenocortical tumour or hyperplasia via endoscopic or open approach. (Anaes.) (Assist.),1554.9
30329,"LYMPH NODES of GROIN, limited excision of (Anaes.)",281.3
30330,"LYMPH NODES of GROIN, radical excision of (Anaes.) (Assist.)",818.8
30332,"Lymph nodes of axilla, limited excision of (H) (Anaes.) (Assist.)",395
30336,"Lymph nodes of axilla, complete excision of (H) (Anaes.) (Assist.)",1185.05
30385,Unplanned return to theatre for laparotomy or laparoscopy for control or drainage of intra-abdominal haemorrhage following abdominal surgery (H) (Anaes.) (Assist.),641.8
30387,"Laparoscopy or laparotomy when an operation is performed on abdominal, retroperitoneal or pelvic viscera, excluding lymph node biopsy, other than a service to which another item in this Group applies (H) (Anaes.) (Assist.)",723.4
30390,"Laparoscopy, diagnostic, with or without aspiration of fluid, on a patient 10 years of age or over, if no other intra-abdominal procedure is performed (H) (Anaes.) (Assist.)",250.5
30396,"Laparotomy or laparoscopy for generalised intra-peritoneal sepsis(also known asperitonitis), with or without removal of foreign material or enteric contents, with lavage of the entire peritoneal cavity, with or without closure of the abdomen when performed by laparotomy (H) (Anaes.) (Assist.)",1158.05
30415,"LIVER, segmental resection of, other than for trauma (Anaes.) (Assist.)",1571.5
30418,"LIVER, lobectomy of, other than for trauma (Anaes.) (Assist.)",1820
30421,"Liver, extended lobectomy of, or central resections of segments 4, 5 and 8, other than for trauma (Anaes.) (Assist.)",2274.6
30443,"Cholecystectomy, by any approach, without cholangiogram (Anaes.) (Assist.)",731.85
30445,"Cholecystectomy, by any approach, with attempted or completed cholangiogram or intraoperative ultrasound of the biliary system, when performed via laparoscopic or open approach or when conversion from laparoscopic to open approach is required (Anaes.) (Assist.)",947.95
30448,"Cholecystectomy, by any approach, involving removal of common duct calculi via the cystic duct, with or without stent insertion (Anaes.) (Assist.)",1108.45
30450,"Calculus of biliary tract, extraction of, using interventional imaging techniques (Anaes.) (Assist.)",597.4
30473,"Oesophagoscopy (not being a service associated with a service to which item 41822 applies), gastroscopy,duodenoscopy or panendoscopy (1 or more such procedures), with or without biopsy, not being a service associated with a service to which item 30478 or 30479 applies. (Anaes.)",201.75
30475,Endoscopic dilatation of stricture of upper gastrointestinal tract (including the use of imaging intensification where clinically indicated) (Anaes.),397.55
30478,"Oesophagoscopy (other than a service associated with a service to which item 41822 or 41825 applies), gastroscopy, duodenoscopy, panendoscopy or push enteroscopy, one or more such procedures, if: (a) the procedures are performed using one or more of the following endoscopic procedures: (i) polypectomy; (ii) sclerosing or adrenalin injections; (iii) banding; (iv) endoscopic clips; (v) haemostatic powders; (vi) diathermy; (vii) argon plasma coagulation; and (b) the procedures are for the treatment of one or more of the following: (i) upper gastrointestinal tract bleeding; (ii) polyps; (iii) removal of foreign body; (iv) oesophageal or gastric varices; (v) peptic ulcers; (vi) neoplasia; (vii) benign vascular lesions; (viii) strictures of the gastrointestinal tract; (ix) tumorous overgrowth through or over oesophageal stents; other than a service associated with a service to which item 30473 or 30479 applies (Anaes.)",279.8
30479,"Endoscopy with laser therapy, for the treatment of one or more of the following: (a) neoplasia; (b) benign vascular lesions; (c) strictures of the gastrointestinal tract; (d) tumorous overgrowth through or over oesophageal stents; (e) peptic ulcers; (f) angiodysplasia; (g) gastric antral vascular ectasia; (h) post-polypectomy bleeding; other than a service associated with a service to which item 30473 or 30478 applies (Anaes.)",542.35
30481,PERCUTANEOUS GASTROSTOMY (initial procedure): (a) including any associated imaging services; and (b) excluding the insertion of a device for the purpose of facilitating weight loss (Anaes.),406.7
30482,PERCUTANEOUS GASTROSTOMY (repeat procedure): (a) including any associated imaging services; and (b) excluding the insertion of a device for the purpose of facilitating weight loss (Anaes.),289.2
30484,"Endoscopic retrogradecholangiopancreatography, other than a service to which item 30664 or 30665 applies (Anaes.)",415.75
30485,ENDOSCOPIC SPHINCTEROTOMY with or without extraction of stones from common bile duct (Anaes.),641.8
30490,"OESOPHAGEAL PROSTHESIS, insertion of, including endoscopy and dilatation (Anaes.)",599.7
30491,"BILE DUCT, ENDOSCOPIC STENTING OF (including endoscopy and dilatation) (Anaes.)",632.7
30492,"BILE DUCT, PERCUTANEOUS STENTING OF (including dilatation when performed), using interventional imaging techniques - but not including imaging (Anaes.)",896.9
30494,ENDOSCOPIC BILIARY DILATATION (Anaes.),479.05
30515,"Gastroenterostomy (including gastroduodenostomy), enterocolostomy or enteroenterostomy, as an independent procedure or in combination with another procedure, only if required for irresectable obstruction, other than a service to which any of items 31569 to 31581 apply (Anaes.) (Assist.)",802.45
30517,"Revision of gastroenterostomy, pyloroplasty or gastroduodenostomy (Anaes.) (Assist.)",1050.6
30518,"Partial gastrectomy, not being a service associated with a service to which any of items 31569 to 31581 apply (Anaes.) (Assist.)",1125
30532,"Oesophagogastric myotomy (Heller’s operation) by endoscopic, abdominal or thoracic approach, whether performed by open or minimally invasive approach, including fundoplication when performed laparoscopically (Anaes.) (Assist.)",1025.8
30559,"OESOPHAGUS, local excision for tumour of (Anaes.) (Assist.)",967.9
30562,"Enterostomy or colostomy, closure of (not involving resection of bowel), on a patient 10 years of age or over (Anaes.) (Assist.)",677.75
30563,"COLOSTOMY OR ILEOSTOMY, refashioning of, on a person 10 years of age or over (Anaes.) (Assist.)",677.75
30565,"SMALL INTESTINE, resection of, without anastomosis (including formation of stoma) (Anaes.) (Assist.)",992.6
30584,"Pancreatico duodenectomy (Whipple’s procedure), with or without preservation of pylorus, including any of the following (if performed):(a) cholecystectomy;(b) pancreatico-biliary anastomosis;(c) gastro-jejunal anastomosis (Anaes.) (Assist.)",3417.65
30611,"Benign tumour of soft tissue (other than tumours of skin, cartilage and bone, simple lipomas covered by item 31345 and lipomata), removal of, by surgical excision, on a patient under 10 years of age, if the specimen excised is sent for histological confirmation of diagnosis, other than a service to which another item in this Group applies (Anaes.) (Assist.)",641.85
30615,"Strangulated, incarcerated or obstructed hernia, repair of, without bowel resection, on a patient 10 years of age or over (Anaes.) (Assist.)",593.9
30621,"Repair of symptomatic umbilical, epigastric or linea alba hernia requiring mesh or other repair, by open or minimally invasive approach, in a patient 10 years of age or over, other than a service to which item 30651 or 30655 applies (Anaes.) (Assist.)",464.25
30629,"Orchidectomy, radical, including spermatic cord, unilateral, for tumour, inguinal approach, without insertion of testicular prosthesis, other than a service associated with a service to which item 30631, 30635, 30641, 30643 or 30644 applies (Anaes.) (Assist.)",593.9
30631,"Hydrocele, removal of, other than a service associated with a service to which item 30641, 30642 or 30644 applies (Anaes.)",269.6
30640,"Repair of large and irreducible scrotal hernia, if surgery exceeds 2 hours, in a patient 10 years of age or over, other than a service to which item 30615, 30621, 30648, 30651 or 30655 applies (Anaes.) (Assist.)",1042.35
30641,"Orchidectomy, simple or subcapsular, unilateral with or without insertion of testicular prosthesis (H) (Anaes.) (Assist.)",464.25
30642,"Orchidectomy, radical, including spermatic cord, unilateral, for tumour, inguinal approach, with insertion of testicular prosthesis, other than a service associated with a service to which item 30631, 30635, 30641, 30643, 30644 or 45051 applies (Anaes.) (Assist.)",863.7
30644,"Exploration of spermatic cord, inguinal approach, with or without testicular biopsy, with or without excision of spermatic cord lesion, for a patient at least 10 years of age, other than a service associated with a service to which item 30629, 30630 or 30642 applies (Anaes.) (Assist.)",593.9
30646,"Laparoscopic appendicectomy, on a patient under 10 years of age (Anaes.) (Assist.)",659.55
30648,"Femoral or inguinal hernia or infantile hydrocele, repair of, by open or minimally invasive approach, on a patient 10 years of age or over, other than a service to which item 30615 or 30651 applies (Anaes.) (Assist.)",529.25
30651,"Ventral hernia repair involving primary fascial closure by suture, with or without onlay mesh or insertion of intraperitoneal onlay mesh repair, without closure of the defect or advancement of the rectus muscle toward the midline, by open or minimally invasive approach, in a patient 10 years of age or over, other than a service associated with a service to which item 30175, 30621, 30655 or 30657 applies (H) (Anaes.) (Assist.)",593.9
30652,"Recurrent groin hernia regardless of size of defect, repair of, with or without mesh, by open or minimally invasive approach, in a patient 10 years of age or over (Anaes.) (Assist.)",593.9
30655,"Ventral hernia, repair of,with advancement of the rectus muscles to the midline using a retro-rectus, pre-peritoneal or sublay technique,by open or minimally invasive approach, in a patient 10 years of age or over, other than aservice associated with a service to which item 30175, 30621 or 30651 applies (H) (Anaes.) (Assist.)",1042.35
30657,"Unilateral abdominal wall reconstruction with component separation, including transversus abdominus release and external oblique release for abdominal wall closure by mobilising the rectus abdominis muscles to the midline, by open or minimally invasive approach (Anaes.) (Assist.)",1484.3
30658,"Circumcision of the penis, when performed under general or regional anaesthesia and in conjunction with a service to which an item in Group T7 or Group T10 applies (Anaes.)",161.7
30676,"Pilonidal sinus or cyst, or sacral sinus or cyst, definitive excision of (Anaes.)",431.85
30680,"Balloon enteroscopy, examination of the small bowel (oral approach), with or without biopsy, WITHOUT intraprocedural therapy, for diagnosis of patients with obscure gastrointestinal bleeding, not in association with another item in this subgroup(with the exception of item 30682 or 30686) The patient to whom the service is provided must: (i)have recurrent or persistent bleeding; and (ii)be anaemic or have active bleeding; and (iii)have had an upper gastrointestinal endoscopy and a colonoscopy performed which did not identify the cause of the bleeding. (Anaes.)",1332.9
30682,"Balloon enteroscopy, examination of the small bowel (anal approach), with or without biopsy, WITHOUT intraprocedural therapy, for diagnosis of patients with obscure gastrointestinal bleeding, not in association with another item in this subgroup (with the exception of item 30680 or 30684) The patient to whom the service is provided must: (i)have recurrent or persistent bleeding; and (ii)be anaemic or have active bleeding; and (iii)have had an upper gastrointestinal endoscopy and a colonoscopy performed which did not identify the cause ofthe bleeding. (Anaes.)",1332.9
30684,"Balloon enteroscopy, examination of the small bowel (oral approach), with or without biopsy, WITH 1 or more of the following procedures (snare polypectomy, removal of foreign body, diathermy, heater probe, laser coagulation or argon plasma coagulation), for diagnosis and management of patients with obscure gastrointestinal bleeding, not in association with another item in this subgroup (with the exception of item 30682 or 30686) The patient to whom the service is provided must: (i)have recurrent or persistent bleeding; and (ii)be anaemic or have active bleeding; and (iii)have had an upper gastrointestinal endoscopy and a colonoscopy performed which did not identify the cause of the bleeding. (Anaes.)",1640.3
30686,"Balloon enteroscopy, examination of the small bowel (anal approach), with or without biopsy, WITH 1 or more of the following procedures (snare polypectomy, removal of foreign body, diathermy, heater probe, laser coagulation or argon plasma coagulation), for diagnosis and management of patients with obscure gastrointestinal bleeding, not in association with another item in this subgroup (with the exception of item 30680 or 30684) The patient to whom the service is provided must: (i)have recurrent or persistent bleeding; and (ii)be anaemic or have active bleeding; and (iii)have had an upper gastrointestinal endoscopy and a colonoscopy performed which did not identify the cause of the bleeding. (Anaes.)",1640.3
30687,"ENDOSCOPY with RADIOFREQUENCY ABLATION of mucosal metaplasia for the treatment of Barrett's Oesophagus in a single course of treatment, following diagnosis of high grade dysplasia confirmed by histological examination (Anaes.)",542.35
30688,"Endoscopic ultrasound (endoscopy with ultrasound imaging), with or without biopsy, for the staging of 1 or more of oesophageal, gastric or pancreatic cancer, not in association with another item in this Subgroup (other than item 30484, 30485, 30491 or 30494) and other than a service associated with the routine monitoring of chronic pancreatitis. (Anaes.)",415.75
30690,"Endoscopic ultrasound (endoscopy with ultrasound imaging), with or without biopsy, with fine needle aspiration, including aspiration of the locoregional lymph nodes if performed, for the staging of 1 or more of oesophageal, gastric or pancreatic cancer, not in association with another item in this Subgroup (other than item 30484, 30485, 30491 or 30494) and other than a service associated with the routine monitoring of chronic pancreatitis. (Anaes.)",641.8
